,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"DPS (Avg=Half HS, Ceiling=All HS)",,,,Damage (HS=Headshot),,,,,Time To Empty,,,,,,,,
Slot,Type,Path,Name,Rarity,Tier,Floor,Avg,Ceiling,RPM (Peak),Base,HS,Crit (Base),Crit + HS,Magazine Size,TTE (s),Reload (s),Fire,Poison,AOE,Code,Paid,Obtainable?,Extra
Primary,Assault Rifle,Rapid Rifle,Shredder-10,★☆☆☆☆☆,D,67,74,80,400,10,12,9,,20,3.0,2.7,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Assault Rifle,K2-Torrent,★☆☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,15,23,19,,20,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Heavy Rifle,KR-17 Harbinger,★☆☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,22,29,20,,14,,3.0,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Burst Rifle,Cyclone BP-9,★☆☆☆☆☆,N/D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Heavy Rifle,Overcast-8,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,24,32,32,,16,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Assault Rifle,Strider-C1,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,26,21,,20,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Burst Rifle,DRX-42,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18,36,21,,21,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Rapid Rifle,Tempest-FX,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,11,14,,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Heavy Rifle,Hal-7 Backlash,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,26,36,,,18,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Rapid Rifle,Pulseline-G7,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,12,16,,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Assault Rifle,Tachyon-31,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,19,29,,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Burst Rifle,Sabre-15,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,19,38,,,21,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Heavy Rifle,Sentra-VS,★★★★☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,28,41,,,20,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Assault Rifle,Velocity-5,★★★★☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,21,32,26,,25,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Rapid Rifle,Overdrive-4R,★★★★☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,15,20,22,,26,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Burst Rifle,Ranger-29,★★★★☆☆,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,20,40,23,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Burst Rifle,Blitz-Q45,★★★★★☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,22,44,25,,27,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Rapid Rifle,Crusher-3R,★★★★★☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Heavy Rifle,Blackthorn GX,★★★★★☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,30,45,,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Burst Rifle,K12 Hatchet,★★★★★☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Assault Rifle,St-53 Rifle,★★★★★☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Burst Rifle,Keyzer-41,★★★★★★,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Assault Rifle,STX-Apex,★★★★★★,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Rapid Rifle,Burnout-X,★★★★★★,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
Primary,Assault Rifle,Heavy Rifle,M4X Vulcan,★★★★★★,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,,
Primary,SMG,Scout SMG,M5-Rushfire,★☆☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,12,18,,,20,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Swarm SMG,VK-31,★☆☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,
Primary,SMG,Scout SMG,Darklight-7,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,13,20,,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Swarm SMG,401-Reign,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,10,13,,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Swarm SMG,M82 Ripper,★★★☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,14,21,,,26,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Scout SMG,T-11 Lancer,★★★☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,11,15,,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Swarm SMG,R7-Stinger,★★★★☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,13,19,,,26,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Scout SMG,GSK-9,★★★★☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,
Primary,SMG,Scout SMG,S-45 Reaperfire,★★★★★☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,26,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Swarm SMG,Starfire-4,★★★★★☆,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,15,23,17,,28,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Scout SMG,HGX-22 Punisher,★★★★★★,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Swarm SMG,T-16X Impactor,★★★★★★,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,23,35,,,25,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Swarm SMG,Thermoblaze-88,★★★★★★,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,13,20,,,26,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
Primary,SMG,Scout SMG,Corrosion-X,★★★★★★,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Mag Fed Shotgun,Striker-07,★☆☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44,N/A,,N/A,10,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
